[INFO] [1761067549.443285988] [performance_monitor_node]: 🚀 Monitor de performance iniciado. Hardware: cpu_only.
[INFO] [1761067549.443785973] [performance_monitor_node]: Coletando dados... Pressione Ctrl+C para parar e gerar o relatório.
[INFO] [1761067615.421627287] [performance_monitor_node]: CPU: 96.4%, RAM: 2726 MB
[INFO] [1761067616.421460538] [performance_monitor_node]: CPU: 98.1%, RAM: 2698 MB
[INFO] [1761067617.422585643] [performance_monitor_node]: CPU: 97.7%, RAM: 2692 MB
[INFO] [1761067618.421737102] [performance_monitor_node]: CPU: 76.6%, RAM: 2678 MB
[INFO] [1761067619.421343416] [performance_monitor_node]: CPU: 79.7%, RAM: 2648 MB
[INFO] [1761067620.423474548] [performance_monitor_node]: CPU: 56.6%, RAM: 2641 MB
[INFO] [1761067621.421922650] [performance_monitor_node]: CPU: 70.0%, RAM: 2681 MB
[INFO] [1761067622.421882231] [performance_monitor_node]: CPU: 71.6%, RAM: 2694 MB
[INFO] [1761067623.423992764] [performance_monitor_node]: CPU: 74.6%, RAM: 2758 MB
[INFO] [1761067624.423848741] [performance_monitor_node]: CPU: 75.3%, RAM: 2698 MB
[INFO] [1761067625.424576217] [performance_monitor_node]: CPU: 78.5%, RAM: 2675 MB
[INFO] [1761067626.421829237] [performance_monitor_node]: CPU: 63.2%, RAM: 2699 MB
[INFO] [1761067627.423504132] [performance_monitor_node]: CPU: 69.6%, RAM: 2706 MB
[INFO] [1761067628.421709667] [performance_monitor_node]: CPU: 61.9%, RAM: 2756 MB
[INFO] [1761067629.422762431] [performance_monitor_node]: CPU: 60.1%, RAM: 2781 MB
[INFO] [1761067630.425692597] [performance_monitor_node]: CPU: 65.5%, RAM: 2721 MB
[INFO] [1761067631.421540012] [performance_monitor_node]: CPU: 74.5%, RAM: 2708 MB
[INFO] [1761067632.421827784] [performance_monitor_node]: CPU: 66.9%, RAM: 2722 MB
[INFO] [1761067633.421819795] [performance_monitor_node]: CPU: 66.5%, RAM: 2679 MB
[INFO] [1761067634.422683243] [performance_monitor_node]: CPU: 69.6%, RAM: 2703 MB
[INFO] [1761067635.424815652] [performance_monitor_node]: CPU: 63.6%, RAM: 2699 MB
[INFO] [1761067636.422469692] [performance_monitor_node]: CPU: 73.5%, RAM: 2733 MB
[INFO] [1761067637.421645579] [performance_monitor_node]: CPU: 63.1%, RAM: 2761 MB
[INFO] [1761067638.425085014] [performance_monitor_node]: CPU: 70.9%, RAM: 2652 MB
[INFO] [1761067639.423098154] [performance_monitor_node]: CPU: 63.5%, RAM: 2613 MB
[INFO] [1761067640.421690697] [performance_monitor_node]: CPU: 75.5%, RAM: 2675 MB
[INFO] [1761067641.423258673] [performance_monitor_node]: CPU: 52.0%, RAM: 2670 MB
[INFO] [1761067642.422675628] [performance_monitor_node]: CPU: 63.4%, RAM: 2690 MB
[INFO] [1761067643.423263899] [performance_monitor_node]: CPU: 56.5%, RAM: 2668 MB
[INFO] [1761067644.423592612] [performance_monitor_node]: CPU: 81.3%, RAM: 2716 MB
[INFO] [1761067645.421656091] [performance_monitor_node]: CPU: 61.7%, RAM: 2688 MB
[INFO] [1761067646.422440488] [performance_monitor_node]: CPU: 72.4%, RAM: 2680 MB
[INFO] [1761067647.425621843] [performance_monitor_node]: CPU: 60.7%, RAM: 2672 MB
[INFO] [1761067648.423236226] [performance_monitor_node]: CPU: 71.6%, RAM: 2641 MB
[INFO] [1761067649.427834977] [performance_monitor_node]: CPU: 61.2%, RAM: 2682 MB
[INFO] [1761067650.423763194] [performance_monitor_node]: CPU: 78.2%, RAM: 2687 MB
[INFO] [1761067651.423695163] [performance_monitor_node]: CPU: 60.4%, RAM: 2707 MB
[INFO] [1761067652.422180090] [performance_monitor_node]: CPU: 57.1%, RAM: 2725 MB
[INFO] [1761067653.421908376] [performance_monitor_node]: CPU: 71.9%, RAM: 2692 MB
[INFO] [1761067654.421813479] [performance_monitor_node]: CPU: 67.3%, RAM: 2708 MB
[INFO] [1761067655.421637008] [performance_monitor_node]: CPU: 67.2%, RAM: 2723 MB
[INFO] [1761067656.425621724] [performance_monitor_node]: CPU: 66.5%, RAM: 2649 MB
[INFO] [1761067657.422037912] [performance_monitor_node]: CPU: 69.7%, RAM: 2693 MB
[INFO] [1761067658.423082939] [performance_monitor_node]: CPU: 53.9%, RAM: 2640 MB
