image,latency_ms,cpu_percent,memory_mb
00381_jpg.rf.f3ec2ece7a4e83e367bbda6196bcbb11.jpg,128.74375999990662,320.8,338.34375
00390_jpg.rf.ad6b1aa2b9dc00e98a143ccf7100a7f9.jpg,125.52949199971408,349.1,342.0078125
00420_jpg.rf.7c4502681057a77f20353797397e5e14.jpg,124.28115500006243,329.9,342.03515625
00505_jpg.rf.a27e744c71e4b59f6be397afd1c08247.jpg,126.96510700016006,345.2,342.03515625
00539_jpg.rf.41b2d5c8f491f3b3c73b791e916a3632.jpg,130.46993099987958,343.3,342.03515625
00566_jpg.rf.ae3540b7fe7f5f2509842807cebfede3.jpg,125.33099099982792,357.5,342.03515625
00630_jpg.rf.d2cafb7b340e84ed4f1caff2c7112d57.jpg,127.86533100006636,334.8,342.03515625
00764_jpg.rf.59cbaf1476637f72b945dc2ac51aa6f3.jpg,126.63529099972948,353.9,342.03515625
00793_jpg.rf.6f03d12990599378ee4700c7ed060a29.jpg,128.07792500007054,342.1,342.03515625
00800_jpg.rf.c3a86c8fc8ac7eb2614af75598f15460.jpg,130.88052500006597,334.8,342.03515625
01230_jpg.rf.87890a103e2f0727fc3ea95eb6b2947b.jpg,127.79057200032184,342.8,342.03515625
01316_jpg.rf.3f3912e7b89ba064f54d16f3b56c85a6.jpg,126.09899300014149,355.2,342.03515625
01636_jpg.rf.280ed160dc2dee6135d76d0c9ee8a81d.jpg,128.2292209998559,326.1,342.03515625
01659_jpg.rf.d5e2d3a4a22ecab36da834d7047d5546.jpg,128.60214800002723,348.5,342.03515625
01818_jpg.rf.9400f1fc2bbdf52251bb22fb31a8a1df.jpg,127.62857100005931,342.4,342.03515625
01822_jpg.rf.c9006494aa87ef2393a33b9331e6bc33.jpg,129.60041099995578,345.8,342.03515625
01919_jpg.rf.bdca4bdbeb7c36a6765908c72557402b.jpg,125.51699100004043,349.1,342.03515625
01974_jpg.rf.2af6edae5d3bc87bb7dc274c4d5ac9f5.jpg,127.54216400026053,351.4,342.03515625
01976_jpg.rf.36ed55c5138151dc4241cfda9d791b03.jpg,127.71233099965684,350.9,342.03515625
0_jpg.rf.2f5e75118e3190be9fa9fe9a74ccca87.jpg,128.72457499997836,317.0,342.0234375
1540318711-amritsar_train_accident_jpg.rf.1bbaeb1cb6aed71e777812e331a0db5e.jpg,148.60688899989327,321.9,342.0234375
1_png.rf.9a2293736ad7fcd7acd9c17d9434cd04.jpg,131.62486000010176,325.4,342.06640625
20160_jpg.rf.71b0a7b72d3bbc32b3af3ce3a1c83863.jpg,130.64865400019698,335.4,342.06640625
23040_jpg.rf.7a74094c6fc2d9d443b724881bb2d71a.jpg,132.66269699988698,315.4,342.06640625
31680_jpg.rf.adb6c64dbf22ed839c7368da87b078e3.jpg,126.81388400005744,330.6,342.06640625
